entry,Catalyst,reactant1,reactant2,ee,T,reaction,T_K,Output
63,OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.C,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.24,25,OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.C.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.2900464148982283
64,OC([C@H]1NCCC1)=O,CCC=O,O=NC1=CC=CC=C1,0.97,4,OC([C@H]1NCCC1)=O.CCC=O.O=NC1=CC=CC=C1,277.15,2.304650918214904
65,OC([C@H]1NCCC1)=O,CCCCCCCCCC=O,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.29,4,OC([C@H]1NCCC1)=O.CCCCCCCCCC=O.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,277.15,0.3288689104047552
66,OC([C@H]1NCCC1)=O,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.28,25,OC([C@H]1NCCC1)=O.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.3408904350161195
67,OC([C@H]1NCCC1)=O,O=CC1CCC2=C1C=CC=C2,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.44,25,OC([C@H]1NCCC1)=O.O=CC1CCC2=C1C=CC=C2.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.5595724578001745
68,OC([C@H]1NCCC1)=O,O=CCC(C)C,O=NC1=CC=CC=C1,0.99,4,OC([C@H]1NCCC1)=O.O=CCC(C)C.O=NC1=CC=CC=C1,277.15,2.915271418824335
69,OC([C@H]1NCCC1)=O,O=CCC1=CC=CC=C1,O=NC1=CC=CC=C1,0.99,4,OC([C@H]1NCCC1)=O.O=CCC1=CC=CC=C1.O=NC1=CC=CC=C1,277.15,2.915271418824335
70,OC([C@H]1NCCC1)=O,O=CCCC1=CC=CC=C1,O=NC1=CC=CC=C1,0.97,4,OC([C@H]1NCCC1)=O.O=CCCC1=CC=CC=C1.O=NC1=CC=CC=C1,277.15,2.304650918214904
71,OC([C@H]1NCCC1)=O,O=CCCC1=CN(C)C2=C1C=CC=C2,O=NC1=CC=CC=C1,0.98,4,OC([C@H]1NCCC1)=O.O=CCCC1=CN(C)C2=C1C=CC=C2.O=NC1=CC=CC=C1,277.15,2.5307481826095235
72,OC([C@H]1NCCC1)=O,O=CCCC=C,O=NC1=CC=CC=C1,0.99,4,OC([C@H]1NCCC1)=O.O=CCCC=C.O=NC1=CC=CC=C1,277.15,2.915271418824335
73,OC([C@H]1NCCC1)=O,O=CCCCCC,O=NC1=CC=CC=C1,0.98,4,OC([C@H]1NCCC1)=O.O=CCCCCC.O=NC1=CC=CC=C1,277.15,2.5307481826095235
74,OC([C@H]1NCCC1)=O,O=CCCCCO[Si](C(C)C)(C(C)C)C(C)C,O=NC1=CC=CC=C1,0.98,4,OC([C@H]1NCCC1)=O.O=CCCCCO[Si](C(C)C)(C(C)C)C(C)C.O=NC1=CC=CC=C1,277.15,2.5307481826095235
75,OC[C@H]1NCCC1,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.24,25,OC[C@H]1NCCC1.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.2900464148982283
76,[C@H]1(C(C2=CC=CC=C2)C3=CC=CC=C3)NCCC1,O=CCCC1=CC=CC=C1,C=CC(C)=O,0.8,25,[C@H]1(C(C2=CC=CC=C2)C3=CC=CC=C3)NCCC1.O=CCCC1=CC=CC=C1.C=CC(C)=O,298.15,1.301806601316453
77,[C@H]1(C2=NN=NN2)NCCC1,CCCCCCCCCC=O,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.3,4,[C@H]1(C2=NN=NN2)NCCC1.CCCCCCCCCC=O.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,277.15,0.3409339479126321
78,[C@H]1(C2=NN=NN2)NCCC1,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.45,25,[C@H]1(C2=NN=NN2)NCCC1.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.5743482289813354
79,[C@H]1(C2=NN=NN2)NCCC1,O=CC1CCC2=C1C=CC=C2,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.55,25,[C@H]1(C2=NN=NN2)NCCC1.O=CC1CCC2=C1C=CC=C2.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.7327542978041184
80,[C@H]1(CN(N2CCCC2)N3CCCC3)NCCC1,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.12,25,[C@H]1(CN(N2CCCC2)N3CCCC3)NCCC1.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.1428831448498942
81,[C@H]1(CN(N2CCOCC2)N3CCOCC3)NCCC1,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.16,25,[C@H]1(CN(N2CCOCC2)N3CCOCC3)NCCC1.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.1912360425563578
82,[C@H]1(CNC2=CC=CC=C2)NCCC1,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0,25,[C@H]1(CNC2=CC=CC=C2)NCCC1.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0
